Year,Penang
1964,22.29
1965,51.43
1966,75.73
1967,90.40
1968,101.17
1969,98.86
1970,112.91
1971,112.04
1972,110.90
1973,112.06
1974,110.86
1975,113.27
1976,108.04
1977,99.52
1978,100.25
1979,90.08
1980,99.53
1981,90.71
1982,84.78
1983,89.60
1984,89.55
1985,82.29
1986,84.20
1987,81.04
