Year,Watamu
1962,21.67
1963,42.33
1964,63.40
1965,75.50
1966,89.17
1967,94.00
1968,93.83
1969,88.50
1970,93.50
1971,103.00
1972,106.67
1973,102.33
1974,112.83
1975,104.17
1976,101.17
1977,98.67
1978,104.33
1979,102.50
1980,104.33
1981,102.33
1982,97.17
1983,91.83
1984,93.67
1985,90.83
1986,87.00
1987,80.00
