Year,Penang
1947,-63.64
1948,-63.17
1949,-65.31
1950,-65.14
1951,-68.09
1952,-65.69
1953,-64.94
1954,-62.03
1955,-63.38
1956,-59.94
1957,-59.88
1958,-54.28
1959,-48.82
1960,-37.89
1961,-30.89
1962,-21.76
1963,-13.40
