Year,Watamu
1947,-63.75
1948,-54.83
1949,-61.00
1950,-63.50
1951,-60.00
1952,-64.00
1953,-63.00
1954,-59.17
1955,-52.00
1956,-53.33
1957,-45.00
1958,-36.83
1959,-27.67
1960,-17.00
1961,-4.83
